id,saleprice
2658,306139.9995481172
2718,273033.5998736755
2414,333309.9969491209
1989,292399.99983900064
625,382087.3968743158
333,320816.5989208953
1327,264999.9998630465
858,306399.99893739074
95,309939.9993794343
1568,319309.9983666945
2482,288404.7983294176
1364,264539.99975492724
2584,264539.9995178618
818,373369.9984025456
2673,295139.9995370623
2089,292747.7999121479
1297,356999.99869242415
790,297399.9990457839
2616,394687.396094773
720,245909.99926247535
222,267709.9989557335
557,292769.99826800125
1148,319309.99786816875
2766,301309.9989768875
534,332726.59908940335
1452,297399.9990476489
630,345444.79932352004
2648,261599.99982460737
125,323019.99799590855
1904,267709.9970427164
1670,297399.99836181884
756,278349.9991470707
717,326833.59965706716
1032,289169.9984102626
852,382087.39819726645
1731,391294.79876216355
2639,349068.79853034916
2071,330356.5997688298
1267,314399.99965103035
1851,274339.9995186204
567,419631.3985173017
2439,363678.39944854967
1898,297399.9984244417
647,382087.39220893267
2256,343019.99855684536
979,273579.9998128731
1444,376169.99772353075
2485,328599.9979531129
157,442317.3973464788
88,320816.59827336075
2003,320816.59890949394
186,367526.5994202004
1425,341769.9994108771
2695,281139.9996246928
738,415294.79809992044
395,292769.9978559273
1353,239109.99935374863
1878,267709.9982227781
390,279399.99858769577
1456,304509.9986454666
1103,356419.9964533928
1387,311399.9989908983
2070,388101.39820843085
1199,324068.79811267
2479,339296.5975451214
501,322709.9970251539
2362,269399.99886429886
1718,355169.9962952289
2188,311399.99907165597
1483,323019.9989955201
2557,378249.9992358424
437,373369.99577027716
2224,336109.99809996213
1628,421644.79906575946
397,346033.3976933166
587,388101.3970678993
971,365597.7997976626
2611,356419.9967211687
1887,223509.9998612459
2399,356419.9962165507
2148,341769.99941144796
304,360613.9986729778
1997,245909.9992710807
2817,299369.99792100705
1431,347569.9962309331
427,363189.99897233053
263,297399.9990718301
598,335019.9970960468
2895,341769.9994460295
687,314309.99752304965
1822,267709.99851867725
2191,281139.9996212607
179,308399.9997027661
1009,310769.9975446284
2010,322399.99895330385
1991,349068.7985781384
1411,401317.3986096775
1721,356419.9962392724
1144,325638.79764108954
593,300162.19782144576
575,356419.9963169571
1249,322709.99665263196
1604,297399.9989951026
1064,382087.3939358273
1923,319309.9974924057
1988,221909.9996227417
2325,373369.99605678173
114,287709.998157087
2700,274339.9997275618
217,274109.9990939394
343,356419.99620355654
386,306139.99931279925
2005,287539.9999305639
2908,239139.99990722007
1814,372169.99670501513
2446,373369.9958936692
208,383044.7996166645
1679,415294.7992088498
822,356419.99779520254
6,373369.99584672
1781,356419.99621854664
2397,341769.9990201582
2340,356419.9962100518
1618,267709.99838814756
2843,297339.99978005956
1061,373369.9957702091
2786,297399.99904762756
1935,267709.9985187479
1341,338068.7987235078
521,341769.99898959696
2136,343019.9986083896
996,289709.997696447
227,255109.9990665886
135,323019.99511086673
1167,376169.99617145816
294,350019.9986259548
1776,274339.9995722314
540,314189.9992410531
1717,355169.99629522895
2303,297399.9989951092
116,303911.3982687411
127,311399.9981287746
1371,315633.59970577905
1014,300169.9979584406
1507,239920.00002905313
702,415294.7995821541
750,369044.7997158196
261,376169.9953853251
1559,281139.9996288899
577,304709.9977314716
2812,306139.99959061673
2080,333433.5988457315
1368,256339.99984305465
2376,267709.9982027867
659,292399.99974988116
1235,335019.99802800553
332,248579.99993355406
1917,261499.99871128614
2094,319309.998554699
1460,472948.79910618
1471,356419.99789689964
1509,290016.59908989246
1922,252169.99895168637
433,397487.3947097055
460,341769.9989890525
1116,356419.99624109076
1137,279864.7984082223
53,356419.9965224545
2354,284309.99806409393
1475,356419.99813126406
1761,297309.9962999043
842,267709.9991803033
2739,336109.998034182
2509,304139.9999149858
1007,257343.59823132606
2610,469503.9967483972
1952,295339.9993693621
2719,353619.99860854936
2921,245909.99930358696
1966,303911.3982432382
292,257539.9997433914
1204,322709.99753697007
1829,333309.99692202447
2419,359984.7989114535
391,382249.9993085235
798,290016.59908707946
481,308562.1975989346
193,338068.7987253117
555,267709.99860849755
899,292947.79988090874
2357,360613.99767731404
328,379717.39879304136
1356,307816.59891616023
1154,252169.99783945084
1730,306139.99929962965
2249,356717.3990679387
1119,373369.99577269214
2856,284309.9989179201
1394,275773.59963965195
2587,297399.9984738556
61,471503.99837307254
2661,306139.9995883071
2711,214569.99928974823
1147,376169.996134541
757,257539.9997325189
2623,310739.9996708946
2378,287709.9981112334
1413,376169.99773526733
1722,356419.99623927975
1112,341769.99907054135
1623,297309.99781422404
1201,374814.796371237
1513,293599.9991389704
957,384999.9983526025
1171,356419.9964857114
1145,303909.9975836059
2726,351369.9980238683
703,304599.9996961736
760,330999.99932283664
1964,307816.59817135514
2512,376169.9961715476
159,354769.9935034912
1281,376169.9961432769
468,306139.9992487681
290,356717.39906252787
665,264999.9998251639
1463,355044.79969588626
1792,309939.99922247196
923,401317.3985797544
500,421644.79906786745
1408,267709.9992969776
331,312939.99889874214
170,373369.99821340374
2192,333399.99885268655
2571,306709.9967448863
2314,298309.9977853705
2647,295339.99964035675
422,373369.9956140889
2457,372169.9963689747
1838,257539.99961790908
2805,306139.99959224486
1645,311399.99851116235
1711,341769.999020204
2825,306139.9995793673
322,299339.999529262
2103,341769.99941087834
342,297399.99835840194
600,261499.9988157939
488,350814.7990302149
1725,341769.99898907216
2246,389687.39836407534
2847,345816.5986261609
806,300162.1987884573
530,306139.9992634125
963,311399.9991209644
2678,267709.9990574232
171,256339.99984281624
2401,388101.39692873205
805,339969.99829895666
2259,430917.39954838617
1748,359668.7977044804
1361,276709.9990194005
1677,373369.9957929584
1406,382087.39900723676
2322,306139.9992981749
688,393244.7986687926
143,297399.998266327
804,373369.9977620253
1214,346033.3974790308
2828,368169.9979909747
1999,469503.9981536879
2467,306139.99931136426
2665,365678.3995214526
1538,373369.9977121268
398,297399.9983299679
2822,330487.3989896823
2157,323019.99901402916
1856,318709.99737587
1269,310739.99965848454
2570,297399.9983855385
2320,306139.9992981577
1517,322399.9989601105
2304,312939.9988843397
1312,261599.99982464095
2012,349068.7986121032
506,344626.1968325077
2865,349068.79872825684
2367,373369.99720746285
554,296999.9996977428
238,294407.79905314615
1954,335019.9980103117
2488,338184.79979345115
2291,261599.9998371066
1969,304156.5996790047
2725,283803.5991267755
1482,323019.99899552
2763,350814.7994681051
503,356969.99619739136
1584,356419.9979179154
1531,306139.9995145285
2210,445644.7980621356
459,356419.99621669867
556,322019.99807538744
1347,276709.99915478734
1290,264999.9998629968
1388,312939.99887438427
1571,337369.9969577993
2754,299339.99952572066
765,314399.99881339225
2494,297816.5983946324
2870,452917.3978928046
7,311399.9985106502
1114,368169.99631306616
2418,341769.99902030395
291,232489.99995335657
18,346033.3973950815
39,356419.99619369453
1001,331911.39787363017
2442,421644.7990677593
616,393849.997057217
2680,245920.0000057642
1414,260109.999242474
289,345816.5987449406
40,363189.9990131812
860,292649.9991101827
409,312939.99804130715
673,297399.99833953136
2427,323019.9980202667
2036,463917.3979857749
2564,306139.9990578135
642,415294.7991210562
1008,376169.99621019646
1908,445644.79670331447
2519,344369.99672628887
1369,305649.9997600476
2855,338068.79873379157
712,292399.9998223092
1943,302444.79978170234
1958,335019.9971357676
107,354769.99695080484
2295,319309.99841281475
704,287033.5999580468
676,267709.9985464339
259,376169.9977976806
93,386769.995524736
106,297309.9976680671
2315,317573.599171893
1050,335019.9980949707
