id,saleprice
2658,124594.71445084363
2718,154126.58927339595
2414,224109.7864516452
1989,114874.14302769024
625,202895.5776766725
333,65886.83764534164
1327,104010.09847419336
858,134274.97617364395
95,164708.4846911924
1568,181818.97024562676
2482,151225.36916104984
1364,138352.66961258464
2584,149650.37715074793
818,276558.2112017954
2673,179700.47665946186
2089,146241.65269700252
1297,137675.19428467657
790,117699.19310876727
2616,234645.59790556878
720,195012.79418450315
222,154398.9395228792
557,127937.45093235467
1148,188538.00965827983
2766,170566.29028333817
534,189942.1174728442
1452,110717.7064769715
630,113960.90833208524
2648,129660.00947540347
125,154168.99831528217
1904,12024.475141198374
1670,93990.41037770454
756,83199.7407887606
717,236388.2004526304
1032,156763.6517210463
852,229048.78642241377
1731,195573.56054677628
2639,115800.21316158958
2071,82745.97276373953
1267,116273.5271187406
1851,192394.49070789386
567,142060.64442444872
2439,224708.31916843355
1898,161517.23517661542
647,169893.84562758263
2256,224183.62514406815
979,82608.45492754225
1444,226676.71812500618
2485,134278.32058177423
157,137301.65511422418
88,122278.69417944457
2003,111024.96157231648
186,227191.87366163637
1425,254620.45112432633
2695,124620.39361556433
738,103927.8040854726
395,169440.6189942304
1353,176153.47915527876
1878,162473.1611593319
390,177971.9617466554
1456,238805.14590606932
1103,306276.7202642774
1387,102230.398632003
2070,164029.98611881118
1199,182280.94916905742
2479,176122.06297542248
501,310260.2893311642
2362,78367.25670758076
1718,198706.5441033123
2188,63724.922560919076
1483,155625.6511299964
2557,79317.68730588071
437,317167.46152223926
2224,214378.21606285125
1628,191600.94782714173
397,142121.97335037403
587,206148.9626829056
971,175972.30363391526
2611,151871.45939576533
1887,77674.42382095754
2399,334751.0752950115
2148,210218.07789484598
304,136863.3047949914
1997,127049.5009830501
2817,113667.40935426299
1431,201731.67312709335
427,291728.88544452935
263,123209.68272680789
598,181272.4434387358
2895,268313.4409244172
687,157490.56266781501
1822,138005.81266148482
2191,104548.86278723832
179,129400.70550263952
1009,209746.78503202647
2010,122595.91610810533
1991,144636.35789026134
1411,213944.16525540594
1721,227423.9004530022
1144,198658.20810601115
593,230870.6012443686
575,302653.49915717356
1249,170998.05009433627
1604,133589.93470411003
1064,410779.51066330913
1923,152796.69747854117
1988,105058.51710039005
2325,181010.3682443658
114,206938.9645324666
2700,162113.84842690825
217,133683.47060230374
343,206318.70967987087
386,230521.54336720333
2005,123950.72799592465
2908,132170.22540656012
1814,238988.46307984646
2446,466657.58252716623
208,133321.24198307097
1679,114812.7055962747
822,317515.96495437715
6,199117.4196023438
1781,369524.4376298785
2397,288261.8612239249
2340,287564.9835537849
1618,178261.7494523963
2843,125637.67840684205
1061,338605.12558048964
2786,106848.44576558936
1935,142810.0332058547
1341,120531.82652467955
521,272055.2001102064
2136,132178.4163427297
996,211189.90233723447
227,137909.4199612029
135,160834.67914825585
1167,173778.74261251837
294,226732.85598526523
1776,198911.43833055906
540,189072.71945862845
1717,197393.81008602306
2303,134774.49340938404
116,186505.32586250082
127,138711.4438558314
1371,139003.54121849686
1014,165120.69497709442
1507,108486.994734657
702,151043.2655521799
750,153953.6777171921
261,146122.27424157131
1559,48431.83199247811
577,220338.87208458874
2812,203193.70770426095
2080,152816.51139797457
1368,122405.92417782918
2376,123759.84351916239
659,109128.37402419094
1235,136803.3077676436
332,46509.773780837655
1917,155110.97294117138
2094,244890.45278137177
1460,282629.99715872016
1471,223897.971296018
1509,115192.38544640504
1922,138982.97154856846
433,420604.3092334252
460,256180.86421048827
1116,260731.14628520142
1137,187688.1848671697
53,174320.78778053448
2354,259682.23224371113
1475,199761.97258253768
1761,364839.19833248295
842,144548.21606300678
2739,170758.16777938046
2509,151981.2579974346
1007,206897.15222551394
2610,192220.5465592211
1952,65962.7341225911
2719,157703.08105018456
2921,66081.21299532987
1966,131661.7710192036
292,119468.78374917619
1204,219294.9346564142
1829,265296.23641055357
2419,202427.94044977613
391,174682.57786077075
798,121144.14500194136
481,219487.9957331121
193,194751.26301431376
555,121446.04983545467
899,51391.244364597835
2357,215424.75205671042
328,134281.04185182694
1356,136815.32336842362
1154,88789.82851580996
1730,187607.9498204384
2249,169051.63888147008
1119,282569.6828746721
2856,125305.40876147803
1394,136346.03517297097
2587,118754.71261400636
61,296081.1035105977
2661,186401.01307504158
2711,116423.23084485903
1147,190261.31950881053
757,130542.74819186144
2623,76798.97346287966
2378,138802.3448006222
1413,161123.5592694506
1722,220911.2999840025
1112,219596.25610547047
1623,213336.86079718638
1201,195134.1998737827
1513,98820.13671702612
957,418325.45475676656
1171,261350.23617349006
1145,205885.1628850475
2726,248590.36615653243
703,162298.46324192267
760,96537.52932826336
1964,137988.45750866272
2512,187546.12971220352
159,155123.5858503217
1281,191646.45328414906
468,177177.1457624333
290,137052.97081321757
665,96030.28110506292
1463,255052.68255048525
1792,227082.16109354887
923,147593.54190762527
500,279796.30884612445
1408,172728.93863828387
331,51813.3091675723
170,150566.5278504556
2192,81579.7288371604
2571,210923.50959537458
2314,185872.21693029255
2647,87798.9674198851
422,383438.289843034
2457,330202.9897044003
1838,184385.86696729437
2805,244687.20151740685
1645,175339.3423280269
1711,287736.8489338588
2825,243170.09660880174
322,302111.45904523786
2103,264329.7893437166
342,128148.84101376124
600,130583.38020145055
488,193328.09285165276
1725,273554.5990352435
2246,279209.15902332496
2847,162493.5925029628
806,243864.77745764144
530,227451.16231542174
963,196102.15338866133
2678,66966.38590411283
171,88834.0883922074
2401,383524.40178555716
805,240667.9348226292
2259,272473.2255369583
1748,208210.96195159107
1361,136186.32470021397
1677,134009.65204413515
1406,174280.88730838802
2322,239685.29378773645
688,171807.43576236907
143,138606.07223808952
804,230270.29841739964
1214,168992.2428432135
2828,151388.62842290662
1999,176805.22025447898
2467,193356.90218121465
2665,183861.09453210328
